,date_0days,cases_0days,deaths_0days,date_90days,cases_90days,deaths_90days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age,percent_with_bachelors
0,2020-01-21,1,0,2020-04-20,2162,96,53061,72,771904,143234,233454,130657,54070,393.99641884,822083,0.542633830486,0.376201954145,7.5,180294,99868,786620,37.8,31.9
1,2020-01-24,1,0,2020-04-23,25811,1142,17031,1606,5238541,1005046,2095418,317505,489235,5450.3843595,5150233,0.743757709047,0.214193162273,13.8,1160425,724730,5223719,36.6,38.0
2,2020-01-25,1,0,2020-04-24,1845,36,6059,651,3155816,598030,1242712,235247,317959,4005.6166459,3175692,0.509601544158,0.432801094389,10.5,711188,440488,3164182,37.8,39.9
3,2020-01-26,1,0,2020-04-25,3234,121,4013,1004,4155501,808534,1752902,40810,79525,487.50954904,4485414,0.456797128628,0.4912624154070001,12.3,1042245,615277,4253913,36.1,32.0
4,2020-01-26,1,0,2020-04-25,19107,895,6037,2126,10105722,1800341,4182123,334665,483659,2473.5073498,10039107,0.714071865319,0.233886938213,14.2,2246521,1299277,10098052,36.2,31.8
5,2020-01-31,1,0,2020-04-30,2163,112,6085,313,1911226,338720,774537,118222,240720,1493.2046662,1927852,0.733480189578,0.208529799074,7.3,432684,246908,1922200,37.0,51.3
6,2020-02-01,1,0,2020-05-01,13295,550,25025,447,780685,125537,270497,123140,371770,13801.32086,803907,0.794723195076,0.164873796196,17.5,134169,91123,791766,32.7,44.8
7,2020-02-02,2,0,2020-05-02,1552,29,6075,337,864263,179193,353484,114866,307615,18795.223512,881549,0.8553169356270001,0.09442505372369996,10.1,116897,131438,870044,38.2,57.1
8,2020-02-05,1,0,2020-05-05,443,22,55025,39,522837,93985,266491,15371,52187,456.91738082,546695,0.713768627206,0.233879939225,10.8,110062,67689,529843,34.9,50.7
9,2020-02-10,1,0,2020-05-10,4989,194,6073,570,3283665,604412,1461512,43025,72833,792.91438376,3338330,0.560710165858,0.382352214351,11.5,726344,439595,3302833,35.6,38.1
10,2020-02-12,1,0,2020-05-12,1942,57,48029,648,1892004,307269,783313,45372,89600,1615.3697451,2003554,0.544659220051,0.409804483668,17.2,499124,223805,1925865,33.4,27.6
11,2020-02-17,10,0,2020-05-17,2428,24,31055,187,549706,95539,236643,36735,89375,1750.3315009,571327,0.479235278844,0.465314693597,11.6,143044,68170,554992,34.5,38.9
12,2020-02-20,1,0,2020-05-20,88,0,6023,32,135490,31200,55393,1146,1575,37.99127697,135558,0.582590082055,0.32355214651,20.3,26259,22647,135768,38.0,29.8
13,2020-02-21,1,0,2020-05-21,1265,57,6067,396,1495400,279005,500893,115932,120790,1607.9350016,1552058,0.585567433683,0.348695045837,14.3,362761,202207,1510023,36.0,30.4
14,2020-02-24,4,0,2020-05-22,454,31,53063,113,490764,105082,199020,10084,18916,296.38858142,522798,0.416136023952,0.499065267852,13.0,111194,76680,497875,37.5,30.4
15,2020-02-24,1,0,2020-05-22,460,20,6095,92,434981,90069,109059,75812,31582,544.70103033,447643,0.622546726726,0.317780184152,7.9,98813,64390,438530,37.9,26.2
16,2020-02-25,1,0,2020-05-22,4308,65,49035,282,1106700,164497,490467,38273,116130,1563.7909353,1160437,0.428482871035,0.326281939521,9.0,311760,114930,1120805,32.6,34.5
17,2020-02-26,1,0,2020-05-22,467,4,6097,82,500943,124291,197589,37428,17940,313.74622239,494336,0.707222967207,0.228093380471,9.9,100818,91097,501317,41.7,34.9
18,2020-02-26,1,0,2020-05-22,97,3,6055,32,141005,33686,51743,15258,22730,184.08552018,137744,0.647661723566,0.295744312133,8.8,29894,25360,140530,41.1,34.9
19,2020-02-26,1,0,2020-05-22,369,14,6041,66,260814,72684,81726,43886,46516,497.3152999,258826,0.7881500077310001,0.159458254882,6.6,52908,54625,260295,46.5,58.8
20,2020-02-28,1,0,2020-05-22,7699,544,53033,450,2118119,386511,977642,81556,247854,1065.0027467,2252782,0.7214892465389999,0.217145372921,9.2,445378,274609,2163257,37.1,51.4
21,2020-02-28,1,0,2020-05-22,669,17,41067,85,572071,100693,188061,83258,84068,830.61446109,601592,0.593956058164,0.327120163424,8.8,137409,73044,581821,36.5,43.7
22,2020-03-01,1,0,2020-05-22,946,90,12081,90,363542,120595,96829,41125,19780,542.27582552,403253,0.398082018362,0.569574447824,10.4,70479,98927,373853,48.0,29.3
23,2020-03-01,1,0,2020-05-22,1790,70,12057,432,1351087,257269,531016,74071,131673,1440.3883066,1471968,0.514932646806,0.446883738438,14.7,315758,189676,1378883,36.9,32.7
24,2020-03-01,1,0,2020-05-22,2729,90,6001,282,1629615,300276,462479,256588,237262,2266.8038359,1671329,0.7931424750689999,0.148711258246,9.0,344513,215917,1643700,37.4,46.0
25,2020-03-02,1,0,2020-05-22,7724,771,25021,59,694389,155147,154853,196195,175598,1784.3023037,706775,0.612466844243,0.333083646141,6.5,148906,113400,698249,40.9,53.0
26,2020-03-02,1,0,2020-05-22,68,1,33009,54,89280,23734,35656,8356,20420,52.607970005,89886,0.569459702387,0.379706381704,9.0,14954,17342,89811,42.9,40.5
27,2020-03-02,1,0,2020-05-22,106,2,53071,28,59862,13443,22801,2866,6521,47.841294958,60760,0.382898874125,0.546455015722,13.3,12884,10324,60236,37.1,28.6
28,2020-03-02,2,0,2020-05-22,3931,196,13121,538,1010420,159840,341073,123502,496827,2019.9144194000005,1063937,0.692273308888,0.271069054186,13.5,230272,113402,1021902,35.4,51.4
29,2020-03-02,1,0,2020-05-22,184,9,6061,70,374985,92327,99291,60392,56930,283.09018519,398329,0.411666622379,0.524652565567,7.1,85719,71099,380077,41.9,38.6
30,2020-03-02,1,0,2020-05-22,1791,76,6081,131,763450,161619,218300,160184,162092,1708.6818505,766573,0.763759178293,0.186891084839,6.8,161248,117867,765935,39.6,49.9
